City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
231,palangkaraya,-2.2,113.8333,24.42,96,100,1.67,ID
232,barah,13.7,30.3667,33.56,9,4,6.07,SD
233,camana,-16.6228,-72.7111,22.15,83,99,1.49,PE
234,berdigestyakh,62.0989,126.6992,-32.65,100,75,1.26,RU
235,igarka,67.4667,86.5833,-9.51,97,100,2.35,RU
236,salinopolis,-0.6136,-47.3561,26.1,87,96,4.08,BR
237,estrela,-28.0611,-50.9383,24.49,54,27,3.24,BR
238,shibirghan,36.6676,65.7529,17.93,30,98,3.9,AF
239,takai,11.5833,9.1167,37.13,7,39,6.21,NG
240,bouarfa,32.53,-1.95,13.89,42,100,8.82,MA
241,siwa oasis,29.2041,25.5195,21.01,36,0,3.46,EG
242,badiyah,22.45,58.8,31.22,13,0,6.46,OM
243,sisimiut,66.9395,-53.6735,-20.73,96,90,1.27,GL
244,castillos,-34.1667,-53.8333,30.48,48,0,2.82,UY
245,quellon,-43.1167,-73.6167,14.12,99,100,2.19,CL
246,guerrero negro,27.9769,-114.0611,13.89,84,100,6.07,MX
247,tsiombe,-25.3,45.4833,32.37,60,52,3.5,MG
248,tomatlan,19.9333,-105.25,14.2,71,0,1.26,MX
249,sigli,5.3848,95.9609,26.13,81,100,0.89,ID
250,lydenburg,-25.0978,30.4597,27.86,48,100,2.98,ZA
251,tazovsky,67.4667,78.7,-16.19,99,97,2.95,RU
252,taltal,-25.4,-70.4833,20.18,72,0,1.39,CL
253,moyynkum,44.2914,72.9469,7.03,57,100,4.13,KZ
254,mana,5.6592,-53.7767,26.46,79,100,3.85,GF
255,benghazi,32.1167,20.0667,19.13,42,0,1.47,LY
256,babol,36.5513,52.679,14.25,51,0,3.59,IR
257,katsuura,35.1333,140.3,6.36,92,100,8.91,JP
258,griffith,41.5284,-87.4237,-1.67,69,96,5.38,US
259,nova sintra,14.8667,-24.7167,21.14,66,0,12.15,CV
260,tura,25.5198,90.2201,18.46,27,0,1.3,IN
261,guinticgan,11.5641,123.1236,26.97,86,95,4.74,PH
262,karbala,32.616,44.0249,25.12,26,26,3.33,IQ
263,coari,-4.085,-63.1414,27.41,74,26,2.11,BR
264,saraktash,51.7866,51.7866,-0.84,96,100,3.29,RU
265,chauk,20.8833,94.8167,30.1,20,1,2.17,MM
266,imbituba,-28.24,-48.6703,27.52,60,30,5.0,BR
267,vorkuta,67.5,64.0,-20.3,100,55,1.91,RU
268,lepsy,46.235,78.9456,0.4,72,100,3.58,KZ
269,antofagasta,-23.65,-70.4,20.66,73,0,1.32,CL
270,aden,12.7794,45.0367,29.3,55,0,8.91,YE
271,galliano,29.4422,-90.2992,7.54,71,6,2.75,US
272,masterton,-40.9597,175.6575,6.12,93,0,0.97,NZ
273,koshki,54.2091,50.4677,-0.51,98,100,3.1,RU
274,vilyuchinsk,52.9306,158.4028,-13.8,82,47,3.65,RU
275,cherryville,53.1569,-6.9667,11.35,80,100,8.93,IE
276,cabinda,-5.55,12.2,25.52,84,100,0.38,AO
277,coracora,-15.0333,-73.7833,10.3,84,99,0.59,PE
278,kenda,23.2,86.5333,24.57,11,0,2.51,IN
